key,en,fa,pl
menu.view.show_minimap,Show Minimap,نمایش نمای کوچک,Pokaż minimapkę
menu.view.block_caret,Block Type Caret,نشانگر بلوکی,Kursor blokowy
menu.view.highlight_occurrences,Highlight All Occurrences,برجسته کردن موادر مشابه,Podświetl wszystkie wystąpienia
menu.view.highlight_current_line,Highlight Current Line,برجسته کردن خط فعلی,Podświetl bieżącą linię
menu.view.show_control_chars,Show Control Characters,نمایش کاراکتر های کنترل,Pokaż znaki kontrolne
menu.view.show_tabs,Show Tabs,نمایش تب ها,Pokaż tabulatory
menu.view.show_spaces,Show Spaces,نمایش فاصله ها,Pokaż spacje
menu.view.full_screen,Full Screen,تمام صفحه,Pełny ekran
menu.tools,Tools,ابزار ها,Narzędzia
menu.tools.color_picker,Color Picker,انتخابگر رنگ,Wybór koloru
menu.tools.security,Security...,امنیت...,Bezpieczeństwo...
menu.tools.counter,Counter...,شماشگر...,Licznik...
menu.tools.translation,Translation...,ترجمه...,Tłumaczenie...
menu.tools.clipboard_history,Clipboard History,تاریخچه بریده دان,Historia schowka
menu.tools.function_creator,Function Creator...,تابع ساز...,Kreator funkcji...
menu.tools.documentation,Documentation...,سند نویسی...,Dokumentacja...
menu.tools.auto_completion,Auto Completion...,تکمیل خودکار...,Automatyczne uzupełnianie...
menu.tools.time_management,Time Management...,مدیریت زمان...,Zarządzanie czasem...
menu.tools.calendar,Calendar,تقویم,Kalendarz
menu.tools.by_extensions,By Extensions,توسط افزونه ها,Rozszerzenia
menu.tools.signature,Signature...,امضا...,Podpis...
menu.tools.date_time,Date & Time...,تاریخ و زمان...,Data i czas...
menu.tools.macros,Macros...,ماکرو ها...,Makra...
menu.tools.auto_backup,Auto Backup...,پشتیبان گیری خودکار...,Automatyczny zapis...
menu.settings,Settings,تنظیمات,Ustawienia
menu.settings.preferences,Preferences...,ترجیحات...,Preferencje...
menu.settings.mode_manager,Mode Manager...,مدیریت مود ها...,Manadżer trybów
menu.settings.extensions,Extensions...,افزونه ها...,Rozszerzenia...
menu.settings.open_data_folder,Open Data Folder,بازکردن پوشه داده,Otwórz folder danych
menu.help,Help,کمک,Pomoc
menu.help.github,GitHub Repository,مخزن گیت هاب,Repozytorium GitHub
menu.help.mode_library,Mode Library,کتابخانه مود,Biblioteka trybów
menu.help.forum,Forum,انجمن,Forum
menu.help.feedback,Share Feedback,ارسال بازخورد,Napisz opinię
menu.help.submit_issue,Submit Issue,ثبت اشکال,Zgłoś problem
menu.help.docs,Online Docs,اسناد آنلاین,Dokumentacja online
menu.help.about,About,درباره,O nas
